store_cd,store_name
3,柳川店
4,田村店
5,北九州空港ﾊﾞｲﾊﾟｽ店
6,宇美店
7,FC太陽本渡店
8,上津役店
9,豊前店
10,石田店
11,直方店
12,日田店
13,江南店
14,牛久店
15,宇佐店
16,方木田店
17,大槻店
18,塩川店
19,富田店
20,棚倉店
21,三重店
22,旧唐津店
23,宇都宮店
24,リンドマール店
25,旧八女店
26,旧日向店
27,新宮店
28,薬師台店
29,豊後高田店
30,南アルプス店
31,安積ﾊﾞｲﾊﾟｽ店
33,旧大田原店
34,宇部店
35,福重店
36,和白店
37,筑後店
38,酒々井店
39,二島店
40,浜田店
41,小月店
42,安中店
43,本庄店
44,西港店
45,神立店
46,朝倉店
47,結城店
48,ハマン店
49,飯塚店
50,上三緒店
51,倉敷店
52,松島店
53,舞松原店
54,東平尾店
56,長沼店
57,粕屋店
58,旧鹿島店
59,野間店
60,北茨城店
62,東篠崎店
65,久世橋店
66,田川店
67,福岡空港店
68,武庫川店
71,天神三丁目店
72,摂津南店
74,際波店
75,片江3丁目店
77,ギメ店
78,門司店
79,ネソ店
81,宇美光正寺店
82,桜ヶ丘店
83,伊万里店
84,武雄店
85,新下関店
86,ガンヤン店
87,大牟田店
88,児島店
90,東岡山店
91,寝屋川店
92,上尾本町店
94,千葉ニュータウン店
95,片縄東店
96,大村店
97,舞鶴2丁目店
99,八王子店
100,甘木店
101,みやき店
102,八千代店
103,旧名取店
105,恵庭店
106,藤野店
108,苫小牧店
109,篠路店
110,上磯店
111,厚別店
112,手稲店
113,伏古店
116,久留米店
120,八代店
121,佐知川店
122,菅谷店
123,防府店
126,わさだ店
127,出雲店
128,別府店
130,八女店
131,上峰店
132,西那須野店
134,野幌店
135,中津店
141,北越谷店
142,FCタイヨー牛深店
143,甲府昭和店
145,神楽店
147,益子店
148,市貝店
149,喜久田店
151,八幡宿店
152,千葉みなと店
154,三日月店
155,小見川店
156,韮崎店
157,水巻店
158,遠賀店
159,リフェイズ八千代店
160,那須塩原店
161,ミルヤン店
162,藤沢羽鳥店
164,宝来店
165,神保原店
166,リフェイズ神保原店
168,谷田部店
169,リフェイズ南ｱﾙﾌﾟｽ店
